GeneModel	Coverage	Integrity
PdomMRNAr1.2-02835.1	0.07	0.02
PdomMRNAr1.2-02836.1	1	0.99
PdomMRNAr1.2-02837.1	1	0.9
PdomMRNAr1.2-02838.1	1	0.9
PdomMRNAr1.2-02839.1	1	1
PdomMRNAr1.2-02840.1	1	0.65
PdomMRNAr1.2-02841.1	1	0.97
PdomMRNAr1.2-02842.1	0	0
PdomMRNAr1.2-02843.1	1	0.99
PdomMRNAr1.2-02844.1	1	0.65
PdomMRNAr1.2-02845.1	0.14	0.04
PdomMRNAr1.2-02846.1	0	NULL
PdomMRNAr1.2-02847.1	0.08	0.02
PdomMRNAr1.2-02848.1	1	0.95
PdomMRNAr1.2-02849.1	0.81	0.67
PdomMRNAr1.2-02850.1	0.42	0.29
PdomMRNAr1.2-02851.1	0.83	0.67
PdomMRNAr1.2-02852.1	1	0.97
PdomMRNAr1.2-02853.1	1	0.35
PdomMRNAr1.2-02854.1	0.98	0.29
PdomMRNAr1.2-02855.1	1	0.9
PdomMRNAr1.2-02856.1	1	0.93
PdomMRNAr1.2-02858.1	0.19	0.06
PdomMRNAr1.2-02859.1	0.03	0.01
PdomMRNAr1.2-02860.1	0	NULL
PdomMRNAr1.2-02861.1	0.1	0.03
PdomMRNAr1.2-02862.1	1	1
PdomMRNAr1.2-02863.1	1	1
PdomMRNAr1.2-02864.1	1	0.65
PdomMRNAr1.2-02865.1	1	1
PdomMRNAr1.2-02866.1	1	1
PdomMRNAr1.2-02867.1	0.98	0.73
PdomMRNAr1.2-02868.1	1	0.3
PdomMRNAr1.2-02869.1	1	0.94
PdomMRNAr1.2-02871.1	0.33	0.28
PdomMRNAr1.2-02872.1	0.8	0.29
PdomMRNAr1.2-02873.1	1	0.93
PdomMRNAr1.2-02874.1	0.97	0.64
PdomMRNAr1.2-02875.1	1	1
PdomMRNAr1.2-02876.1	0	NULL
PdomMRNAr1.2-02877.1	1	0.9
PdomMRNAr1.2-02878.1	0	NULL
PdomMRNAr1.2-02879.1	0	NULL
PdomMRNAr1.2-02880.1	0	NULL
PdomMRNAr1.2-02881.1	1	0.95
PdomMRNAr1.2-02882.1	1	0.98
PdomMRNAr1.2-02883.1	1	0.57
PdomMRNAr1.2-02884.1	1	0.9
PdomMRNAr1.2-02885.1	1	0.84
PdomMRNAr1.2-02886.1	1	0.98
PdomMRNAr1.2-02887.1	0	NULL
PdomMRNAr1.2-02888.1	1	1
PdomMRNAr1.2-02889.1	0.78	0.24
PdomMRNAr1.2-02890.1	1	1
PdomMRNAr1.2-02891.1	1	0.95
PdomMRNAr1.2-02892.1	1	0.95
PdomMRNAr1.2-02893.1	1	0.3
PdomMRNAr1.2-02894.1	0.88	0.28
PdomMRNAr1.2-02895.1	0.05	0.01
PdomMRNAr1.2-02896.1	1	0.92
PdomMRNAr1.2-02897.1	1	0.96
PdomMRNAr1.2-02898.1	1	1
PdomMRNAr1.2-02899.1	1	1
PdomMRNAr1.2-02900.1	0	0
PdomMRNAr1.2-02901.1	0.22	0.07
PdomMRNAr1.2-02902.1	1	1
PdomMRNAr1.2-02903.1	1	1
PdomMRNAr1.2-02904.1	1	0.9
PdomMRNAr1.2-02905.1	1	1
PdomMRNAr1.2-02906.1	0.99	0.83
PdomMRNAr1.2-02907.1	1	0.9
PdomMRNAr1.2-02908.1	1	0.47
PdomMRNAr1.2-02909.1	0.96	0.69
PdomMRNAr1.2-02910.1	1	0.88
PdomMRNAr1.2-02911.1	0.58	0.77
PdomMRNAr1.2-02912.1	0.63	0.19
PdomMRNAr1.2-02913.1	1	0.85
PdomMRNAr1.2-02914.1	1	1
PdomMRNAr1.2-02915.1	1	1
PdomMRNAr1.2-02916.1	1	1
PdomMRNAr1.2-02917.1	1	1
PdomMRNAr1.2-02918.1	1	1
PdomMRNAr1.2-02919.1	0.89	0.55
PdomMRNAr1.2-02920.1	1	0.48
PdomMRNAr1.2-02921.1	1	1
PdomMRNAr1.2-02922.1	1	1
PdomMRNAr1.2-02923.1	0.98	0.34
PdomMRNAr1.2-02924.1	1	0.75
PdomMRNAr1.2-02926.1	1	1
PdomMRNAr1.2-02927.1	1	1
PdomMRNAr1.2-02928.1	0.83	0.9
PdomMRNAr1.2-02929.1	1	1
PdomMRNAr1.2-02930.1	1	1
PdomMRNAr1.2-02931.1	1	1
PdomMRNAr1.2-02932.1	1	1
PdomMRNAr1.2-02933.1	1	0.3
PdomMRNAr1.2-02934.1	1	0.93
PdomMRNAr1.2-02935.1	1	0.3
PdomMRNAr1.2-02936.1	0	0
PdomMRNAr1.2-02937.1	1	1
PdomMRNAr1.2-02938.1	1	0.6
PdomMRNAr1.2-02939.1	1	0.95
PdomMRNAr1.2-02940.1	0.98	0.95
PdomMRNAr1.2-02941.1	1	0.6
PdomMRNAr1.2-02942.1	0.25	0.07
PdomMRNAr1.2-02943.1	0.89	0.52
PdomMRNAr1.2-02944.1	1	0.9
PdomMRNAr1.2-02945.1	1	1
PdomMRNAr1.2-02946.1	1	1
PdomMRNAr1.2-02947.1	1	0.97
PdomMRNAr1.2-02948.1	1	0.9
PdomMRNAr1.2-02949.1	0.19	0.06
PdomMRNAr1.2-02950.1	1	0.95
PdomMRNAr1.2-02951.1	0	NULL
PdomMRNAr1.2-02952.1	1	0.95
PdomMRNAr1.2-02953.1	0.03	0.01
PdomMRNAr1.2-02954.1	1	0.96
PdomMRNAr1.2-02955.1	1	0.97
PdomMRNAr1.2-02956.1	0	NULL
PdomMRNAr1.2-02958.1	1	1
PdomMRNAr1.2-02959.1	1	0.9
PdomMRNAr1.2-02960.1	0.97	0.67
PdomMRNAr1.2-02961.1	0.97	0.81
PdomMRNAr1.2-02962.1	1	0.94
PdomMRNAr1.2-02963.1	1	0.65
PdomMRNAr1.2-02964.1	0.9	0.28
PdomMRNAr1.2-02966.1	1	0.7
PdomMRNAr1.2-02967.1	0.99	0.92
PdomMRNAr1.2-02968.1	0.94	0.68
PdomMRNAr1.2-02969.1	1	0.75
PdomMRNAr1.2-02970.1	0.82	0.24
PdomMRNAr1.2-02972.1	1	1
PdomMRNAr1.2-02973.1	1	1
PdomMRNAr1.2-02974.1	0	NULL
PdomMRNAr1.2-02975.1	1	0.95
PdomMRNAr1.2-02976.1	0	NULL
PdomMRNAr1.2-02977.1	0	NULL
PdomMRNAr1.2-02978.1	0	NULL
PdomMRNAr1.2-02979.1	1	1
PdomMRNAr1.2-02980.1	1	0.9
PdomMRNAr1.2-02981.1	1	0.95
PdomMRNAr1.2-02982.1	1	0.94
PdomMRNAr1.2-02983.1	0.39	0.12
PdomMRNAr1.2-02984.1	1	0.88
PdomMRNAr1.2-02985.1	1	0.3
PdomMRNAr1.2-02986.1	0.97	0.89
PdomMRNAr1.2-02987.1	1	0.3
PdomMRNAr1.2-02988.1	0	NULL
PdomMRNAr1.2-02989.1	1	0.98
PdomMRNAr1.2-02990.1	1	0.99
PdomMRNAr1.2-02991.1	0.99	0.84
PdomMRNAr1.2-02992.1	1	1
PdomMRNAr1.2-02993.1	1	0.93
PdomMRNAr1.2-02994.1	0.98	0.89
PdomMRNAr1.2-02995.1	1	0.73
PdomMRNAr1.2-02996.1	0.96	0.29
PdomMRNAr1.2-02997.1	1	0.96
PdomMRNAr1.2-02998.1	0.08	0.02
PdomMRNAr1.2-02999.1	0.94	0.98
PdomMRNAr1.2-03000.1	0.97	0.95
PdomMRNAr1.2-03001.1	0.29	0.09
PdomMRNAr1.2-03002.1	1	0.9
PdomMRNAr1.2-03003.1	1	0.3
PdomMRNAr1.2-03004.1	1	0.81
PdomMRNAr1.2-03006.1	0.02	0.01
PdomMRNAr1.2-03007.1	1	1
PdomMRNAr1.2-03008.1	1	0.3
PdomMRNAr1.2-03009.1	0.67	0.2
PdomMRNAr1.2-03010.1	0.98	0.89
PdomMRNAr1.2-03011.1	1	0.75
PdomMRNAr1.2-03012.1	1	0.3
PdomMRNAr1.2-03013.1	1	1
PdomMRNAr1.2-03014.1	0.89	0.78
PdomMRNAr1.2-03015.1	0.04	0.01
PdomMRNAr1.2-03016.1	1	1
PdomMRNAr1.2-03017.1	1	0.69
PdomMRNAr1.2-03018.1	1	0.3
PdomMRNAr1.2-03019.1	0.52	0.41
PdomMRNAr1.2-03020.1	0.03	0.01
PdomMRNAr1.2-03021.1	0.46	0.14
PdomMRNAr1.2-03022.1	0.99	0.75
PdomMRNAr1.2-03023.1	0.97	0.64
PdomMRNAr1.2-03024.1	1	1
PdomMRNAr1.2-03025.1	1	0.99
PdomMRNAr1.2-03026.1	0	NULL
PdomMRNAr1.2-03027.1	1	0.99
PdomMRNAr1.2-03028.1	1	1
PdomMRNAr1.2-03029.1	0.99	0.35
PdomMRNAr1.2-03030.1	1	0.95
PdomMRNAr1.2-03031.1	0.35	0.22
PdomMRNAr1.2-03032.1	1	1
PdomMRNAr1.2-03033.1	0.92	0.81
PdomMRNAr1.2-03034.1	0	NULL
PdomMRNAr1.2-03035.1	1	0.98
PdomMRNAr1.2-03036.1	1	1
PdomMRNAr1.2-03037.1	0.99	0.54
PdomMRNAr1.2-03038.1	0	NULL
PdomMRNAr1.2-03039.1	1	1
PdomMRNAr1.2-03040.1	1	0.97
PdomMRNAr1.2-03041.1	0	0
PdomMRNAr1.2-03042.1	0.97	0.29
PdomMRNAr1.2-03043.1	1	0.98
PdomMRNAr1.2-03045.1	0.98	0.88
PdomMRNAr1.2-03046.1	0.31	0.09
PdomMRNAr1.2-03047.1	0.95	0.89
PdomMRNAr1.2-03048.1	0.42	0.13
PdomMRNAr1.2-03049.1	1	0.55
PdomMRNAr1.2-03051.1	1	0.76
PdomMRNAr1.2-03053.1	1	1
PdomMRNAr1.2-03054.1	0.93	0.75
PdomMRNAr1.2-03055.1	1	1
PdomMRNAr1.2-03056.1	1	0.72
PdomMRNAr1.2-03057.1	1	1
PdomMRNAr1.2-03058.1	1	0.44
PdomMRNAr1.2-03059.1	0.53	0.36
PdomMRNAr1.2-03060.1	1	1
PdomMRNAr1.2-03061.1	1	0.55
PdomMRNAr1.2-03062.1	1	0.9
PdomMRNAr1.2-03063.1	1	0.31
PdomMRNAr1.2-03064.1	1	0.59
PdomMRNAr1.2-03065.1	1	1
PdomMRNAr1.2-03066.1	0.05	0.01
PdomMRNAr1.2-03067.1	0.98	0.94
PdomMRNAr1.2-03068.1	0.7	0.61
PdomMRNAr1.2-03069.1	0.44	0.27
PdomMRNAr1.2-03070.1	0.88	0.71
PdomMRNAr1.2-03071.1	0.07	0.02
PdomMRNAr1.2-03072.1	1	0.34
PdomMRNAr1.2-03073.1	1	1
PdomMRNAr1.2-03074.1	1	1
PdomMRNAr1.2-03075.1	1	0.95
PdomMRNAr1.2-03076.1	1	0.95
PdomMRNAr1.2-03077.1	0.99	0.95
PdomMRNAr1.2-03078.1	0.29	0.09
PdomMRNAr1.2-03079.1	0	NULL
PdomMRNAr1.2-03080.1	1	1
PdomMRNAr1.2-03081.1	0.32	0.25
PdomMRNAr1.2-03082.1	1	0.73
PdomMRNAr1.2-03083.1	0.81	0.52
PdomMRNAr1.2-03084.1	1	0.63
PdomMRNAr1.2-03085.1	0	NULL
PdomMRNAr1.2-03086.1	1	0.7
PdomMRNAr1.2-03087.1	1	0.95
PdomMRNAr1.2-03088.1	0.85	0.25
PdomMRNAr1.2-03089.1	0.59	0.33
PdomMRNAr1.2-03090.1	0.74	0.75
PdomMRNAr1.2-03091.1	0.86	0.67
PdomMRNAr1.2-03092.1	1	1
PdomMRNAr1.2-03093.1	1	0.92
PdomMRNAr1.2-03094.1	1	0.3
PdomMRNAr1.2-03095.1	0.92	0.6
PdomMRNAr1.2-03096.1	0.89	0.75
PdomMRNAr1.2-03097.1	0	NULL
PdomMRNAr1.2-03098.1	1	0.98
PdomMRNAr1.2-03099.1	0.26	0.08
PdomMRNAr1.2-03100.1	0.02	0.01
PdomMRNAr1.2-03101.1	0	NULL
PdomMRNAr1.2-03102.1	0.35	0.1
PdomMRNAr1.2-03103.1	1	0.9
PdomMRNAr1.2-03104.1	1	0.81
PdomMRNAr1.2-03106.1	1	1
PdomMRNAr1.2-03107.1	1	0.85
PdomMRNAr1.2-03108.1	1	0.98
PdomMRNAr1.2-03109.1	1	0.95
PdomMRNAr1.2-03110.1	1	0.97
PdomMRNAr1.2-03111.1	1	0.9
PdomMRNAr1.2-03112.1	1	0.9
PdomMRNAr1.2-03113.1	0	NULL
PdomMRNAr1.2-03114.1	1	0.3
PdomMRNAr1.2-03115.1	0.07	0.02
PdomMRNAr1.2-03116.1	1	0.95
PdomMRNAr1.2-03117.1	0.76	0.23
PdomMRNAr1.2-03118.1	1	0.3
PdomMRNAr1.2-03119.1	1	0.83
PdomMRNAr1.2-03120.1	1	0.45
PdomMRNAr1.2-03121.1	1	0.96
PdomMRNAr1.2-03122.1	1	0.9
PdomMRNAr1.2-03123.1	0.06	0.02
PdomMRNAr1.2-03124.1	0.12	0.04
PdomMRNAr1.2-03125.1	1	0.76
PdomMRNAr1.2-03126.1	1	0.35
PdomMRNAr1.2-03127.1	0.96	0.94
PdomMRNAr1.2-03128.1	1	0.75
PdomMRNAr1.2-03129.1	1	0.84
PdomMRNAr1.2-03130.1	1	0.95
PdomMRNAr1.2-03131.1	0.4	0.34
PdomMRNAr1.2-03132.1	0.93	0.29
PdomMRNAr1.2-03133.1	1	0.91
PdomMRNAr1.2-03134.1	0	NULL
PdomMRNAr1.2-03135.1	0	NULL
PdomMRNAr1.2-03136.1	1	0.89
PdomMRNAr1.2-03137.1	0	NULL
PdomMRNAr1.2-03138.1	0.32	0.09
PdomMRNAr1.2-03139.1	1	0.75
PdomMRNAr1.2-03140.1	0.99	0.7
PdomMRNAr1.2-03141.1	1	1
PdomMRNAr1.2-03142.1	1	0.97
PdomMRNAr1.2-03143.1	1	0.91
PdomMRNAr1.2-03144.1	1	0.9
PdomMRNAr1.2-03145.1	0.98	0.83
PdomMRNAr1.2-03146.1	0.04	0.01
PdomMRNAr1.2-03147.1	0	NULL
PdomMRNAr1.2-03148.1	1	1
PdomMRNAr1.2-03149.1	0.99	0.37
PdomMRNAr1.2-03150.1	0.47	0.14
PdomMRNAr1.2-03151.1	1	0.3
PdomMRNAr1.2-03152.1	1	0.69
PdomMRNAr1.2-03153.1	0.95	0.9
PdomMRNAr1.2-03154.1	1	1
PdomMRNAr1.2-03155.1	1	1
PdomMRNAr1.2-03156.1	1	0.65
PdomMRNAr1.2-03157.1	1	1
PdomMRNAr1.2-03158.1	1	0.95
PdomMRNAr1.2-03159.1	0.95	0.74
PdomMRNAr1.2-03160.1	1	0.95
PdomMRNAr1.2-03161.1	1	1
PdomMRNAr1.2-03162.1	1	1
PdomMRNAr1.2-03163.1	0.81	0.53
PdomMRNAr1.2-03164.1	1	0.9
PdomMRNAr1.2-03165.1	0.85	0.5
PdomMRNAr1.2-03166.1	0.04	0.01
PdomMRNAr1.2-03167.1	0.25	0.08
PdomMRNAr1.2-03168.1	1	0.95
PdomMRNAr1.2-03169.1	1	0.9
PdomMRNAr1.2-03170.1	0	0
PdomMRNAr1.2-03171.1	0.58	0.39
PdomMRNAr1.2-03172.1	1	1
PdomMRNAr1.2-03173.1	0	NULL
PdomMRNAr1.2-03175.1	0.96	0.71
PdomMRNAr1.2-03176.1	0.02	0.01
PdomMRNAr1.2-03177.1	0.99	0.8
PdomMRNAr1.2-03178.1	0	NULL
PdomMRNAr1.2-03179.1	1	0.95
PdomMRNAr1.2-03180.1	1	0.95
PdomMRNAr1.2-03181.1	1	0.98
PdomMRNAr1.2-03182.1	1	0.9
PdomMRNAr1.2-03183.1	1	0.9
PdomMRNAr1.2-03184.1	1	1
PdomMRNAr1.2-03185.1	1	1
PdomMRNAr1.2-03186.1	1	0.99
PdomMRNAr1.2-03187.1	1	0.7
PdomMRNAr1.2-03188.1	0.95	0.39
PdomMRNAr1.2-03189.1	1	0.95
PdomMRNAr1.2-03190.1	1	0.95
PdomMRNAr1.2-03191.1	0.05	0.01
PdomMRNAr1.2-03192.1	1	0.77
PdomMRNAr1.2-03193.1	0.91	0.77
PdomMRNAr1.2-03194.1	0.99	0.77
PdomMRNAr1.2-03195.1	1	1
PdomMRNAr1.2-03196.1	1	0.94
PdomMRNAr1.2-03197.1	0.11	0.03
PdomMRNAr1.2-03198.1	1	0.96
PdomMRNAr1.2-03199.1	0	NULL
PdomMRNAr1.2-03200.1	1	0.91
PdomMRNAr1.2-03201.1	1	0.75
PdomMRNAr1.2-03202.1	1	1
PdomMRNAr1.2-03203.1	1	0.9
PdomMRNAr1.2-03204.1	1	1
PdomMRNAr1.2-03205.1	1	0.3
PdomMRNAr1.2-03207.1	0.85	0.45
PdomMRNAr1.2-03208.1	0.06	0.02
PdomMRNAr1.2-03209.1	1	0.95
PdomMRNAr1.2-03210.1	1	0.3
PdomMRNAr1.2-03211.1	1	0.98
PdomMRNAr1.2-03212.1	1	0.75
PdomMRNAr1.2-03213.1	0	NULL
PdomMRNAr1.2-03214.1	1	1
PdomMRNAr1.2-03215.1	0	NULL
PdomMRNAr1.2-03216.1	1	0.76
PdomMRNAr1.2-03217.1	0	NULL
PdomMRNAr1.2-03218.1	0.98	0.5
PdomMRNAr1.2-03219.1	0	NULL
PdomMRNAr1.2-03220.1	0.78	0.43
PdomMRNAr1.2-03221.1	1	1
PdomMRNAr1.2-03222.1	1	0.65
PdomMRNAr1.2-03223.1	1	0.9
PdomMRNAr1.2-03224.1	0	NULL
PdomMRNAr1.2-03225.1	0.71	0.21
PdomMRNAr1.2-03226.1	1	0.98
PdomMRNAr1.2-03227.1	1	0.9
PdomMRNAr1.2-03228.1	0.95	0.59
PdomMRNAr1.2-03229.1	0.98	0.84
PdomMRNAr1.2-03230.1	1	0.95
PdomMRNAr1.2-03231.1	1	0.98
PdomMRNAr1.2-03232.1	0.23	0.07
PdomMRNAr1.2-03233.1	0.98	0.86
PdomMRNAr1.2-03234.1	0.99	0.9
PdomMRNAr1.2-03235.1	1	0.95
PdomMRNAr1.2-03236.1	1	0.95
PdomMRNAr1.2-03237.1	0.96	0.79
PdomMRNAr1.2-03238.1	1	0.98
PdomMRNAr1.2-03239.1	1	1
PdomMRNAr1.2-03240.1	1	1
PdomMRNAr1.2-03241.1	1	0.6
PdomMRNAr1.2-03242.1	0	NULL
PdomMRNAr1.2-03243.1	1	0.95
PdomMRNAr1.2-03244.1	1	0.9
PdomMRNAr1.2-03245.1	0.99	0.93
PdomMRNAr1.2-03246.1	0.99	0.3
PdomMRNAr1.2-03247.1	0.05	0.02
PdomMRNAr1.2-03248.1	1	0.89
PdomMRNAr1.2-03249.1	0	NULL
PdomMRNAr1.2-03250.1	1	0.95
PdomMRNAr1.2-03251.1	1	0.77
PdomMRNAr1.2-03252.1	1	1
PdomMRNAr1.2-03253.1	0.54	0.3
PdomMRNAr1.2-03254.1	1	0.98
PdomMRNAr1.2-03255.1	1	0.3
PdomMRNAr1.2-03256.1	0.96	0.89
PdomMRNAr1.2-03257.1	1	0.97
PdomMRNAr1.2-03258.1	1	0.95
PdomMRNAr1.2-03259.1	0.69	0.21
PdomMRNAr1.2-03260.1	0.96	0.89
PdomMRNAr1.2-03261.1	1	0.86
PdomMRNAr1.2-03262.1	0.97	0.29
PdomMRNAr1.2-03263.1	1	0.96
PdomMRNAr1.2-03264.1	1	1
PdomMRNAr1.2-03265.1	1	0.65
PdomMRNAr1.2-03266.1	1	0.7
PdomMRNAr1.2-03267.1	1	0.8
PdomMRNAr1.2-03268.1	0.99	0.9
PdomMRNAr1.2-03269.1	1	0.91
PdomMRNAr1.2-03270.1	0.96	0.59
PdomMRNAr1.2-03271.1	1	0.65
PdomMRNAr1.2-03272.1	1	0.84
PdomMRNAr1.2-03273.1	1	0.96
PdomMRNAr1.2-03274.1	1	0.3
PdomMRNAr1.2-03275.1	1	0.91
PdomMRNAr1.2-03276.1	0.99	0.8
PdomMRNAr1.2-03277.1	1	0.96
PdomMRNAr1.2-03278.1	1	1
PdomMRNAr1.2-03279.1	0.98	0.78
PdomMRNAr1.2-03280.1	0.62	0.19
PdomMRNAr1.2-03282.1	1	0.3
PdomMRNAr1.2-03283.1	0.27	0.21
PdomMRNAr1.2-03284.1	1	0.3
PdomMRNAr1.2-03285.1	1	0.9
PdomMRNAr1.2-03286.1	0.53	0.16
PdomMRNAr1.2-03287.1	1	0.9
PdomMRNAr1.2-03288.1	1	1
PdomMRNAr1.2-03289.1	0.96	0.65
PdomMRNAr1.2-03290.1	0.05	0.02
PdomMRNAr1.2-03291.1	1	0.97
PdomMRNAr1.2-03292.1	1	0.85
PdomMRNAr1.2-03293.1	0.25	0.28
PdomMRNAr1.2-03294.1	0.66	0.5
PdomMRNAr1.2-03295.1	0	NULL
PdomMRNAr1.2-03296.1	1	0.66
PdomMRNAr1.2-03297.1	0.31	0.09
PdomMRNAr1.2-03298.1	1	0.97
PdomMRNAr1.2-03299.1	1	0.85
PdomMRNAr1.2-03300.1	1	0.42
PdomMRNAr1.2-03301.1	0.99	1
PdomMRNAr1.2-03302.1	1	1
PdomMRNAr1.2-03303.1	0.88	0.69
PdomMRNAr1.2-03304.1	0.46	0.14
PdomMRNAr1.2-03305.1	1	0.4
PdomMRNAr1.2-03306.1	1	0.3
PdomMRNAr1.2-03307.1	1	0.9
PdomMRNAr1.2-03308.1	1	0.9
PdomMRNAr1.2-03309.1	0.44	0.42
PdomMRNAr1.2-03310.1	1	0.78
PdomMRNAr1.2-03311.1	1	0.8
PdomMRNAr1.2-03312.1	1	0.95
PdomMRNAr1.2-03313.1	1	1
PdomMRNAr1.2-03314.1	1	0.9
PdomMRNAr1.2-03315.1	1	0.9
PdomMRNAr1.2-03316.1	0.99	0.85
PdomMRNAr1.2-03317.1	1	0.86
PdomMRNAr1.2-03318.1	1	1
PdomMRNAr1.2-03320.1	1	0.92
PdomMRNAr1.2-03321.1	1	1
PdomMRNAr1.2-03322.1	0.16	0.05
PdomMRNAr1.2-03323.1	1	0.95
PdomMRNAr1.2-03324.1	0.31	0.09
PdomMRNAr1.2-03325.1	0.98	0.6
PdomMRNAr1.2-03326.1	1	0.9
PdomMRNAr1.2-03327.1	1	1
PdomMRNAr1.2-03328.1	1	0.9
PdomMRNAr1.2-03329.1	1	0.9
PdomMRNAr1.2-03330.1	1	0.97
PdomMRNAr1.2-03331.1	1	1
PdomMRNAr1.2-03332.1	1	1
PdomMRNAr1.2-03333.1	0.89	0.88
PdomMRNAr1.2-03334.1	0.04	0.01
PdomMRNAr1.2-03335.1	1	0.9
PdomMRNAr1.2-03336.1	1	1
PdomMRNAr1.2-03337.1	1	1
PdomMRNAr1.2-03338.1	0.07	0.02
PdomMRNAr1.2-03339.1	1	0.95
PdomMRNAr1.2-03341.1	1	1
PdomMRNAr1.2-03342.1	1	1
PdomMRNAr1.2-03343.1	1	0.94
PdomMRNAr1.2-03344.1	1	1
PdomMRNAr1.2-03345.1	0	0
PdomMRNAr1.2-03346.1	1	0.92
PdomMRNAr1.2-03347.1	1	1
PdomMRNAr1.2-03348.1	0.99	0.92
PdomMRNAr1.2-03349.1	1	0.99
PdomMRNAr1.2-03350.1	1	1
PdomMRNAr1.2-03351.1	1	0.91
PdomMRNAr1.2-03352.1	0.95	0.69
PdomMRNAr1.2-03353.1	0.98	0.99
PdomMRNAr1.2-03355.1	1	0.91
PdomMRNAr1.2-03357.1	0.96	0.59
PdomMRNAr1.2-03358.1	1	0.95
PdomMRNAr1.2-03359.1	1	0.78
PdomMRNAr1.2-03360.1	1	0.72
PdomMRNAr1.2-03361.1	1	0.8
PdomMRNAr1.2-03362.1	1	0.83
PdomMRNAr1.2-03363.1	1	0.98
PdomMRNAr1.2-03364.1	1	0.44
PdomMRNAr1.2-03365.1	0.82	0.66
PdomMRNAr1.2-03366.1	1	0.95
PdomMRNAr1.2-03367.1	0	NULL
PdomMRNAr1.2-03368.1	0.98	0.29
PdomMRNAr1.2-03369.1	0.71	0.26
PdomMRNAr1.2-03370.1	1	1
PdomMRNAr1.2-03371.1	0	NULL
PdomMRNAr1.2-03372.1	1	0.8
PdomMRNAr1.2-03373.1	1	0.78
PdomMRNAr1.2-03374.1	1	0.7
PdomMRNAr1.2-03375.1	0.93	0.78
PdomMRNAr1.2-03376.1	1	0.85
PdomMRNAr1.2-03377.1	1	0.95
PdomMRNAr1.2-03378.1	1	0.91
PdomMRNAr1.2-03379.1	0.95	0.29
PdomMRNAr1.2-03380.1	1	0.95
PdomMRNAr1.2-03381.1	1	1
PdomMRNAr1.2-03382.1	1	0.96
PdomMRNAr1.2-03383.1	0	NULL
PdomMRNAr1.2-03384.1	0.94	0.28
PdomMRNAr1.2-03385.1	0.07	0.02
PdomMRNAr1.2-03386.1	1	1
PdomMRNAr1.2-03387.1	0.85	0.79
PdomMRNAr1.2-03388.1	0.98	0.64
PdomMRNAr1.2-03389.1	0	NULL
PdomMRNAr1.2-03390.1	1	1
PdomMRNAr1.2-03391.1	1	1
PdomMRNAr1.2-03392.1	1	0.3
PdomMRNAr1.2-03393.1	1	1
PdomMRNAr1.2-03394.1	1	0.9
PdomMRNAr1.2-03395.1	1	0.84
PdomMRNAr1.2-03396.1	1	1
PdomMRNAr1.2-03397.1	1	1
PdomMRNAr1.2-03398.1	1	0.98
PdomMRNAr1.2-03399.1	0.44	0.28
PdomMRNAr1.2-03400.1	1	0.9
PdomMRNAr1.2-03401.1	1	0.8
PdomMRNAr1.2-03402.1	1	1
PdomMRNAr1.2-03403.1	1	0.96
PdomMRNAr1.2-03404.1	1	0.97
PdomMRNAr1.2-03405.1	1	1
PdomMRNAr1.2-03406.1	1	1
PdomMRNAr1.2-03407.1	1	0.35
PdomMRNAr1.2-03408.1	1	0.95
PdomMRNAr1.2-03409.1	0.79	0.24
PdomMRNAr1.2-03410.1	1	0.95
PdomMRNAr1.2-03411.1	0.24	0.07
PdomMRNAr1.2-03413.1	0.49	0.15
PdomMRNAr1.2-03414.1	0.34	0.1
PdomMRNAr1.2-03415.1	0.91	0.27
PdomMRNAr1.2-03416.1	0.03	0.01
PdomMRNAr1.2-03417.1	1	1
PdomMRNAr1.2-03419.1	1	0.83
PdomMRNAr1.2-03420.1	1	0.7
PdomMRNAr1.2-03421.1	1	0.6
PdomMRNAr1.2-03422.1	1	0.83
PdomMRNAr1.2-03423.1	0	0
PdomMRNAr1.2-03424.1	0	NULL
PdomMRNAr1.2-03425.1	0.98	0.65
PdomMRNAr1.2-03426.1	1	1
PdomMRNAr1.2-03427.1	1	0.54
PdomMRNAr1.2-03428.1	0.06	0.02
PdomMRNAr1.2-03429.1	1	0.99
PdomMRNAr1.2-03430.1	0.97	0.34
PdomMRNAr1.2-03431.1	1	0.65
PdomMRNAr1.2-03432.1	0.04	0.61
PdomMRNAr1.2-03433.1	0.88	0.79
PdomMRNAr1.2-03434.1	1	0.8
PdomMRNAr1.2-03435.1	1	0.95
PdomMRNAr1.2-03436.1	1	1
PdomMRNAr1.2-03437.1	0.26	0.08
PdomMRNAr1.2-03438.1	1	0.85
PdomMRNAr1.2-03439.1	1	0.75
PdomMRNAr1.2-03440.1	1	0.92
PdomMRNAr1.2-03441.1	1	0.99
PdomMRNAr1.2-03442.1	1	0.71
PdomMRNAr1.2-03443.1	0.39	0.72
PdomMRNAr1.2-03444.1	0.99	0.7
PdomMRNAr1.2-03445.1	1	0.93
PdomMRNAr1.2-03446.1	0	0
PdomMRNAr1.2-03447.1	0.48	0.49
PdomMRNAr1.2-03448.1	1	0.72
PdomMRNAr1.2-03449.1	1	0.9
PdomMRNAr1.2-03450.1	0.95	0.28
PdomMRNAr1.2-03451.1	1	0.92
PdomMRNAr1.2-03452.1	0.91	0.27
PdomMRNAr1.2-03453.1	0.31	0.09
PdomMRNAr1.2-03454.1	1	0.65
PdomMRNAr1.2-03455.1	1	1
